observation_id,deployment_id,sequence_id,media_id,timestamp,observation_type,scientific_name,vernacular_name,count,age,sex,individual_id,classification_method,classified_by,classification_date,classification_confidence,comments
edf37ef4-b38f-4530-8b2b-92dc7aa4603e:seq,1308f068-83ac-4432-90ea-619fa3154579,edf37ef4-b38f-4530-8b2b-92dc7aa4603e,,2018-06-07T11:35:05+0200,setup/pickup,,,,,,,human,,,,
92e3d848-e216-46c6-924c-5d5fcbdfa929:seq,1308f068-83ac-4432-90ea-619fa3154579,92e3d848-e216-46c6-924c-5d5fcbdfa929,,2018-06-07T12:00:00+0200,time lapse,,,,,,,human,,,,
411cbe1a-9530-4cfe-a336-485343bc8bb8:seq,1308f068-83ac-4432-90ea-619fa3154579,411cbe1a-9530-4cfe-a336-485343bc8bb8,,2018-06-08T00:00:00+0200,time lapse,,,,,,,human,,,,
bcc946b7-2e42-4487-a78e-c1fbaa23d5b0:seq,1308f068-83ac-4432-90ea-619fa3154579,bcc946b7-2e42-4487-a78e-c1fbaa23d5b0,,2018-06-08T12:00:00+0200,time lapse,,,,,,,human,,,,
f571418b-6c05-4284-a943-1801a952da40:seq,1308f068-83ac-4432-90ea-619fa3154579,f571418b-6c05-4284-a943-1801a952da40,,2018-06-09T00:00:00+0200,time lapse,,,,,,,human,,,,
d15370cc-c0f1-4db5-81da-93c2a10e4d7a:seq,1308f068-83ac-4432-90ea-619fa3154579,d15370cc-c0f1-4db5-81da-93c2a10e4d7a,,2018-06-09T12:00:00+0200,time lapse,,,,,,,human,,,,
b2ea26a4-15d4-472a-9e7f-4ffc04995987:seq,1308f068-83ac-4432-90ea-619fa3154579,b2ea26a4-15d4-472a-9e7f-4ffc04995987,,2018-06-10T00:00:00+0200,time lapse,,,,,,,human,,,,
13d359da-1f9a-4a3c-998d-9b4df7a0b13a:seq,1308f068-83ac-4432-90ea-619fa3154579,13d359da-1f9a-4a3c-998d-9b4df7a0b13a,,2018-06-10T12:00:00+0200,time lapse,,,,,,,human,,,,
eadb88bb-4a50-4afd-acd9-a3756b94304d:seq,1308f068-83ac-4432-90ea-619fa3154579,eadb88bb-4a50-4afd-acd9-a3756b94304d,,2018-06-11T00:00:00+0200,time lapse,,,,,,,human,,,,
21da20d3-6694-4687-85e5-84ba6cfaf34a:seq,1308f068-83ac-4432-90ea-619fa3154579,21da20d3-6694-4687-85e5-84ba6cfaf34a,,2018-06-11T12:00:00+0200,time lapse,,,,,,,human,,,,
fae54a91-a9d9-43dd-a730-e555bfd0627d:seq,1308f068-83ac-4432-90ea-619fa3154579,fae54a91-a9d9-43dd-a730-e555bfd0627d,,2018-06-12T00:00:00+0200,time lapse,,,,,,,human,,,,
8e5a21b0-0176-4115-bbc1-93edfd8ba638:seq,1308f068-83ac-4432-90ea-619fa3154579,8e5a21b0-0176-4115-bbc1-93edfd8ba638,,2018-06-12T12:00:00+0200,time lapse,,,,,,,human,,,,
800763a7-2b24-40bd-aa7e-e7e9512c4e5e:seq,1308f068-83ac-4432-90ea-619fa3154579,800763a7-2b24-40bd-aa7e-e7e9512c4e5e,,2018-06-13T00:00:00+0200,time lapse,,,,,,,human,,,,
dc37014a-89cc-41eb-9d83-21e2cf0c0330:seq,1308f068-83ac-4432-90ea-619fa3154579,dc37014a-89cc-41eb-9d83-21e2cf0c0330,,2018-06-13T12:00:00+0200,time lapse,,,,,,,human,,,,
