observation_id,deployment_id,sequence_id,media_id,timestamp,observation_type,scientific_name,vernacular_name,count,age,sex,individual_id,classification_method,classified_by,classification_date,classification_confidence,comments
e04a45c9-c2af-4844-a882-acbd5c3bfd16:seq,1308f068-83ac-4432-90ea-619fa3154579,e04a45c9-c2af-4844-a882-acbd5c3bfd16,,2018-06-14T00:00:00+0200,time lapse,,,,,,,human,,,,
ee2c7730-ba14-4b61-9291-1f87c63708f8:seq,1308f068-83ac-4432-90ea-619fa3154579,ee2c7730-ba14-4b61-9291-1f87c63708f8,,2018-06-14T12:00:00+0200,time lapse,,,,,,,human,,,,
d0098ff8-663e-4afc-a5b6-32cdd40bdf88:seq,1308f068-83ac-4432-90ea-619fa3154579,d0098ff8-663e-4afc-a5b6-32cdd40bdf88,,2018-06-15T00:00:00+0200,time lapse,,,,,,,human,,,,
b66ab749-1062-4be5-b0b8-2951d2099d38:seq,1308f068-83ac-4432-90ea-619fa3154579,b66ab749-1062-4be5-b0b8-2951d2099d38,,2018-06-15T12:00:00+0200,time lapse,,,,,,,human,,,,
12b2a5ae-0d2f-4401-8cb1-3a1d255d5f69:seq,1308f068-83ac-4432-90ea-619fa3154579,12b2a5ae-0d2f-4401-8cb1-3a1d255d5f69,,2018-06-16T00:00:00+0200,time lapse,,,,,,,human,,,,
ca2b0d62-a31d-4c73-9dc9-1a9f8833e2f1:seq,1308f068-83ac-4432-90ea-619fa3154579,ca2b0d62-a31d-4c73-9dc9-1a9f8833e2f1,,2018-06-16T12:00:00+0200,time lapse,,,,,,,human,,,,
a71c0fe4-504d-43b3-83ea-6da6a7061350:seq,1308f068-83ac-4432-90ea-619fa3154579,a71c0fe4-504d-43b3-83ea-6da6a7061350,,2018-06-16T13:46:28+0200,empty,,,,,,,human,,,,
9e31922d-b746-41bb-8223-74ff9de33386:seq,1308f068-83ac-4432-90ea-619fa3154579,9e31922d-b746-41bb-8223-74ff9de33386,,2018-06-17T00:00:00+0200,time lapse,,,,,,,human,,,,
314b1e04-bb21-4da6-b60a-537e072ddfd3:seq,1308f068-83ac-4432-90ea-619fa3154579,314b1e04-bb21-4da6-b60a-537e072ddfd3,,2018-06-17T12:00:00+0200,time lapse,,,,,,,human,,,,
649de3a0-28b8-4c4f-88aa-fda5edc47b27:seq,1308f068-83ac-4432-90ea-619fa3154579,649de3a0-28b8-4c4f-88aa-fda5edc47b27,,2018-06-18T00:00:00+0200,time lapse,,,,,,,human,,,,
0da3cbd8-0e76-42f3-942a-4f1e01fa043b:seq,1308f068-83ac-4432-90ea-619fa3154579,0da3cbd8-0e76-42f3-942a-4f1e01fa043b,,2018-06-18T12:00:00+0200,time lapse,,,,,,,human,,,,
f80b637d-e978-42ad-96be-a5af4f35cb05:seq,1308f068-83ac-4432-90ea-619fa3154579,f80b637d-e978-42ad-96be-a5af4f35cb05,,2018-06-19T00:00:00+0200,time lapse,,,,,,,human,,,,
ca3d8b31-e447-429a-9e02-ab9d6503f986:seq,1308f068-83ac-4432-90ea-619fa3154579,ca3d8b31-e447-429a-9e02-ab9d6503f986,,2018-06-19T12:00:00+0200,time lapse,,,,,,,human,,,,
ab8ae76b-6019-47c5-bb8b-23c366c7a1b0:seq,1308f068-83ac-4432-90ea-619fa3154579,ab8ae76b-6019-47c5-bb8b-23c366c7a1b0,,2018-06-20T00:00:00+0200,time lapse,,,,,,,human,,,,
20cf4509-4576-4fbf-8619-892fa73876b1:seq,1308f068-83ac-4432-90ea-619fa3154579,20cf4509-4576-4fbf-8619-892fa73876b1,,2018-06-20T12:00:00+0200,time lapse,,,,,,,human,,,,
8cb67df4-f3f5-4a99-ab9e-6417c51033ee:seq,1308f068-83ac-4432-90ea-619fa3154579,8cb67df4-f3f5-4a99-ab9e-6417c51033ee,,2018-06-21T00:00:00+0200,time lapse,,,,,,,human,,,,
0006771d-f349-4015-8c5e-f898707d576b:seq,1308f068-83ac-4432-90ea-619fa3154579,0006771d-f349-4015-8c5e-f898707d576b,,2018-06-21T12:00:00+0200,time lapse,,,,,,,human,,,,
6380ff03-d542-4971-80d1-7ffaa3dfb960:seq,1308f068-83ac-4432-90ea-619fa3154579,6380ff03-d542-4971-80d1-7ffaa3dfb960,,2018-06-22T00:00:00+0200,time lapse,,,,,,,human,,,,
fef73198-e796-4776-9d6e-8a9f627d41a4:seq,1308f068-83ac-4432-90ea-619fa3154579,fef73198-e796-4776-9d6e-8a9f627d41a4,,2018-06-22T11:54:15+0200,empty,,,,,,,human,,,,
f0d5e784-8c64-4f4a-b96f-b8d5f2d8c94c:seq,1308f068-83ac-4432-90ea-619fa3154579,f0d5e784-8c64-4f4a-b96f-b8d5f2d8c94c,,2018-06-22T12:00:00+0200,time lapse,,,,,,,human,,,,
49bdc86f-b6fb-4134-a215-01321ed5b03a:seq,1308f068-83ac-4432-90ea-619fa3154579,49bdc86f-b6fb-4134-a215-01321ed5b03a,,2018-06-23T00:00:00+0200,time lapse,,,,,,,human,,,,
32cdba51-ecb8-41aa-bd09-76baab3e1d2f:seq,1308f068-83ac-4432-90ea-619fa3154579,32cdba51-ecb8-41aa-bd09-76baab3e1d2f,,2018-06-23T12:00:00+0200,time lapse,,,,,,,human,,,,
eebea34a-dc9a-49d1-b9f2-adae3d2accdb:seq,1308f068-83ac-4432-90ea-619fa3154579,eebea34a-dc9a-49d1-b9f2-adae3d2accdb,,2018-06-24T00:00:00+0200,time lapse,,,,,,,human,,,,
cdd7b4c8-0671-477b-9881-5eebc2d07352:seq,1308f068-83ac-4432-90ea-619fa3154579,cdd7b4c8-0671-477b-9881-5eebc2d07352,,2018-06-24T12:00:00+0200,time lapse,,,,,,,human,,,,
68259187-b1e3-46b0-882d-89f37bc2724c:seq,1308f068-83ac-4432-90ea-619fa3154579,68259187-b1e3-46b0-882d-89f37bc2724c,,2018-06-25T00:00:00+0200,time lapse,,,,,,,human,,,,
5c21c621-171a-4bb1-85ba-56ccf40971bc:seq,1308f068-83ac-4432-90ea-619fa3154579,5c21c621-171a-4bb1-85ba-56ccf40971bc,,2018-06-25T12:00:00+0200,time lapse,,,,,,,human,,,,
2a177a0e-6b71-487b-88ce-bb708cf73264:seq,1308f068-83ac-4432-90ea-619fa3154579,2a177a0e-6b71-487b-88ce-bb708cf73264,,2018-06-26T00:00:00+0200,time lapse,,,,,,,human,,,,
25fb9a84-18ed-4a16-af0f-8a3be28d9898:seq,1308f068-83ac-4432-90ea-619fa3154579,25fb9a84-18ed-4a16-af0f-8a3be28d9898,,2018-06-26T12:00:00+0200,time lapse,,,,,,,human,,,,
7d302447-0a64-427a-99f7-081a1a10040b:seq,1308f068-83ac-4432-90ea-619fa3154579,7d302447-0a64-427a-99f7-081a1a10040b,,2018-06-27T00:00:00+0200,time lapse,,,,,,,human,,,,
1d4f489c-b4e2-4a29-9bc1-18f9bcc7fbf1:seq,1308f068-83ac-4432-90ea-619fa3154579,1d4f489c-b4e2-4a29-9bc1-18f9bcc7fbf1,,2018-06-27T12:00:00+0200,time lapse,,,,,,,human,,,,
15ab91dd-b0e2-4106-9ed6-9f0d0813aecb:seq,1308f068-83ac-4432-90ea-619fa3154579,15ab91dd-b0e2-4106-9ed6-9f0d0813aecb,,2018-06-28T00:00:00+0200,time lapse,,,,,,,human,,,,
1f6fe253-ff48-4666-97b0-c976dfbd35d2:seq,1308f068-83ac-4432-90ea-619fa3154579,1f6fe253-ff48-4666-97b0-c976dfbd35d2,,2018-06-28T12:00:00+0200,time lapse,,,,,,,human,,,,
a960c163-2666-4f53-9ac4-8d840ff75119:seq,1308f068-83ac-4432-90ea-619fa3154579,a960c163-2666-4f53-9ac4-8d840ff75119,,2018-06-29T00:00:00+0200,time lapse,,,,,,,human,,,,
02bffe09-b82f-4214-912d-af3ce7ce82cb:seq,1308f068-83ac-4432-90ea-619fa3154579,02bffe09-b82f-4214-912d-af3ce7ce82cb,,2018-06-29T12:00:00+0200,time lapse,,,,,,,human,,,,
2c6b987d-e969-45b1-af21-f529e69f1166:seq,1308f068-83ac-4432-90ea-619fa3154579,2c6b987d-e969-45b1-af21-f529e69f1166,,2018-06-30T00:00:00+0200,time lapse,,,,,,,human,,,,
d0f65445-963c-4234-bd41-6d2e4ba97613:seq,1308f068-83ac-4432-90ea-619fa3154579,d0f65445-963c-4234-bd41-6d2e4ba97613,,2018-06-30T12:00:00+0200,time lapse,,,,,,,human,,,,
332f016a-869d-42be-9363-57b43d2d2e39:seq,1308f068-83ac-4432-90ea-619fa3154579,332f016a-869d-42be-9363-57b43d2d2e39,,2018-07-01T00:00:00+0200,time lapse,,,,,,,human,,,,
8c3888ce-e53e-40c3-b348-1696a377d26e:seq,1308f068-83ac-4432-90ea-619fa3154579,8c3888ce-e53e-40c3-b348-1696a377d26e,,2018-07-01T12:00:00+0200,time lapse,,,,,,,human,,,,
d6dcb06e-0bb0-4cdb-8b51-d2d7604b91e1:seq,1308f068-83ac-4432-90ea-619fa3154579,d6dcb06e-0bb0-4cdb-8b51-d2d7604b91e1,,2018-07-02T00:00:00+0200,time lapse,,,,,,,human,,,,
72853ec5-95c3-4868-b90e-0362b156d313:seq,1308f068-83ac-4432-90ea-619fa3154579,72853ec5-95c3-4868-b90e-0362b156d313,,2018-07-02T12:00:00+0200,time lapse,,,,,,,human,,,,
b70d353d-d788-4c47-9339-fc742b5f1b9f:seq,1308f068-83ac-4432-90ea-619fa3154579,b70d353d-d788-4c47-9339-fc742b5f1b9f,,2018-07-03T00:00:00+0200,time lapse,,,,,,,human,,,,
82ae46ab-180b-4a6f-acbc-7c0cccb76880:seq,1308f068-83ac-4432-90ea-619fa3154579,82ae46ab-180b-4a6f-acbc-7c0cccb76880,,2018-07-03T12:00:00+0200,time lapse,,,,,,,human,,,,
47e98f19-2572-4db8-b30a-dff8c3b021d9:seq,1308f068-83ac-4432-90ea-619fa3154579,47e98f19-2572-4db8-b30a-dff8c3b021d9,,2018-07-03T13:50:41+0200,setup/pickup,,,,,,,human,,,,
5006fdcf-6e96-4a02-b087-edd783e70a3f:seq,23945adb-0c21-441e-9de9-85d99faf3a92,5006fdcf-6e96-4a02-b087-edd783e70a3f,,2018-06-02T12:37:55+0200,setup/pickup,,,,,,,human,,,,
38ae2296-1909-43b2-994e-0db847411025:seq,23945adb-0c21-441e-9de9-85d99faf3a92,38ae2296-1909-43b2-994e-0db847411025,,2018-06-03T00:00:00+0200,time lapse,,,,,,,human,,,,
71023eaf-e315-4f32-b957-427e87c53729:seq,23945adb-0c21-441e-9de9-85d99faf3a92,71023eaf-e315-4f32-b957-427e87c53729,,2018-06-03T12:00:00+0200,time lapse,,,,,,,human,,,,
9662fa1e-038b-4508-a3d3-32b6cc1d4732:seq,23945adb-0c21-441e-9de9-85d99faf3a92,9662fa1e-038b-4508-a3d3-32b6cc1d4732,,2018-06-04T00:00:00+0200,time lapse,,,,,,,human,,,,
2c84cdb5-91b6-4b97-8bd9-a9486f9cdb66:seq,23945adb-0c21-441e-9de9-85d99faf3a92,2c84cdb5-91b6-4b97-8bd9-a9486f9cdb66,,2018-06-04T12:00:00+0200,time lapse,,,,,,,human,,,,
990e0fb6-3fc2-4d46-9e94-a2b8b31473a2:seq,23945adb-0c21-441e-9de9-85d99faf3a92,990e0fb6-3fc2-4d46-9e94-a2b8b31473a2,,2018-06-05T00:00:00+0200,time lapse,,,,,,,human,,,,
5f47fc1f-5f4b-47ff-9f34-d454122d7e2e:seq,23945adb-0c21-441e-9de9-85d99faf3a92,5f47fc1f-5f4b-47ff-9f34-d454122d7e2e,,2018-06-05T12:00:00+0200,time lapse,,,,,,,human,,,,
71caa39e-4ffc-4b24-a277-1ee0f686278d:seq,23945adb-0c21-441e-9de9-85d99faf3a92,71caa39e-4ffc-4b24-a277-1ee0f686278d,,2018-06-06T00:00:00+0200,time lapse,,,,,,,human,,,,
8afd4e09-0e9b-4b4f-ac79-6cf806ef6394:seq,23945adb-0c21-441e-9de9-85d99faf3a92,8afd4e09-0e9b-4b4f-ac79-6cf806ef6394,,2018-06-06T12:00:00+0200,time lapse,,,,,,,human,,,,
fd6a28e3-9bec-4075-9cc3-2c76b22f2300:seq,23945adb-0c21-441e-9de9-85d99faf3a92,fd6a28e3-9bec-4075-9cc3-2c76b22f2300,,2018-06-07T00:00:00+0200,time lapse,,,,,,,human,,,,
4097610e-b86e-4f15-9e84-65da17f2c08b:seq,23945adb-0c21-441e-9de9-85d99faf3a92,4097610e-b86e-4f15-9e84-65da17f2c08b,,2018-06-07T00:33:06+0200,empty,,,,,,,human,,,,
c1940d66-7960-45f5-97b3-f0226be8cc10:seq,23945adb-0c21-441e-9de9-85d99faf3a92,c1940d66-7960-45f5-97b3-f0226be8cc10,,2018-06-07T12:00:00+0200,time lapse,,,,,,,human,,,,
a63d38dc-e9ba-4ba8-a234-aa60d857b0bc:seq,23945adb-0c21-441e-9de9-85d99faf3a92,a63d38dc-e9ba-4ba8-a234-aa60d857b0bc,,2018-06-08T00:00:00+0200,time lapse,,,,,,,human,,,,
d364ac19-43cb-40d2-801b-359c75bf8bf4,23945adb-0c21-441e-9de9-85d99faf3a92,95ae7823-0ad3-44f1-88bc-bf3121af2fdb,,2018-06-08T01:01:23+0200,animal,Sus scrofa,wild boar,1,undefined,female,,human,bf315175-2b1d-40d7-9aee-9e50ce63085e,2018-08-18T18:54:30+0200,,
35a5c220-d2f5-4677-927b-252157b40204,23945adb-0c21-441e-9de9-85d99faf3a92,95ae7823-0ad3-44f1-88bc-bf3121af2fdb,,2018-06-08T01:01:23+0200,animal,Sus scrofa,wild boar,3,juvenile,undefined,,human,bf315175-2b1d-40d7-9aee-9e50ce63085e,2018-08-18T18:54:42+0200,,
fcf8e5d0-689c-4f40-9db7-d06625bafbab:seq,23945adb-0c21-441e-9de9-85d99faf3a92,fcf8e5d0-689c-4f40-9db7-d06625bafbab,,2018-06-08T12:00:00+0200,time lapse,,,,,,,human,,,,
c3e4774e-378e-465c-b0db-3e69c1f87d19:seq,23945adb-0c21-441e-9de9-85d99faf3a92,c3e4774e-378e-465c-b0db-3e69c1f87d19,,2018-06-08T22:24:43+0200,empty,,,,,,,human,,,,
1e679f25-5169-4022-95e3-7774a7a21b25:seq,23945adb-0c21-441e-9de9-85d99faf3a92,1e679f25-5169-4022-95e3-7774a7a21b25,,2018-06-09T00:00:00+0200,time lapse,,,,,,,human,,,,
81c8005d-9b16-4d01-8397-b4b8ac4e8e5e:seq,23945adb-0c21-441e-9de9-85d99faf3a92,81c8005d-9b16-4d01-8397-b4b8ac4e8e5e,,2018-06-09T12:00:00+0200,time lapse,,,,,,,human,,,,
18294293-76cc-4b36-8daf-84ff84b7aedf:seq,23945adb-0c21-441e-9de9-85d99faf3a92,18294293-76cc-4b36-8daf-84ff84b7aedf,,2018-06-10T00:00:00+0200,time lapse,,,,,,,human,,,,
75a299e9-0358-4ef1-be9c-93fed2e2e2bf:seq,23945adb-0c21-441e-9de9-85d99faf3a92,75a299e9-0358-4ef1-be9c-93fed2e2e2bf,,2018-06-10T12:00:00+0200,time lapse,,,,,,,human,,,,
c937e419-55a5-498d-9ea8-2f1386c9b18c:seq,23945adb-0c21-441e-9de9-85d99faf3a92,c937e419-55a5-498d-9ea8-2f1386c9b18c,,2018-06-11T00:00:00+0200,time lapse,,,,,,,human,,,,
7f85131d-c368-4340-856c-2b8bcc89b805:seq,23945adb-0c21-441e-9de9-85d99faf3a92,7f85131d-c368-4340-856c-2b8bcc89b805,,2018-06-11T12:00:00+0200,time lapse,,,,,,,human,,,,
3f6a0f55-79ec-4521-ab23-6bb711908af3:seq,23945adb-0c21-441e-9de9-85d99faf3a92,3f6a0f55-79ec-4521-ab23-6bb711908af3,,2018-06-12T00:00:00+0200,time lapse,,,,,,,human,,,,
1ccb07b3-4899-4f58-b0b7-24a55682597b:seq,23945adb-0c21-441e-9de9-85d99faf3a92,1ccb07b3-4899-4f58-b0b7-24a55682597b,,2018-06-12T12:00:00+0200,time lapse,,,,,,,human,,,,
0fa53352-30f0-4f0d-829b-c4a74dc9ee9a,23945adb-0c21-441e-9de9-85d99faf3a92,cda9dd6a-fcba-42d8-bedf-75afd52b9b36,,2018-06-12T21:20:30+0200,animal,Sus scrofa,wild boar,12,juvenile,undefined,,human,bf315175-2b1d-40d7-9aee-9e50ce63085e,2018-08-18T18:58:44+0200,,
2b0fbc6d-0f3f-4749-ba5f-fbb0f25aa940,23945adb-0c21-441e-9de9-85d99faf3a92,cda9dd6a-fcba-42d8-bedf-75afd52b9b36,,2018-06-12T21:20:30+0200,animal,Sus scrofa,wild boar,3,undefined,female,,human,bf315175-2b1d-40d7-9aee-9e50ce63085e,2018-08-18T18:58:29+0200,,
1e1de01e-d271-4a83-82fd-53bc32eb17a3:seq,23945adb-0c21-441e-9de9-85d99faf3a92,1e1de01e-d271-4a83-82fd-53bc32eb17a3,,2018-06-13T00:00:00+0200,time lapse,,,,,,,human,,,,
6cae6dfd-2166-4243-a158-6d6251c3e5a9,23945adb-0c21-441e-9de9-85d99faf3a92,b668a938-28c8-43de-924e-c0e6225d7cff,,2018-06-13T02:50:00+0200,animal,Sus scrofa,wild boar,1,undefined,female,,human,bf315175-2b1d-40d7-9aee-9e50ce63085e,2018-08-18T18:59:08+0200,,
c6eab2e1-b070-4eec-a44a-1faad52e4114,23945adb-0c21-441e-9de9-85d99faf3a92,c044d0d8-9ae0-4a21-b13c-b42a95d7dfb4,,2018-06-13T03:46:54+0200,animal,Sus scrofa,wild boar,1,undefined,undefined,,human,bf315175-2b1d-40d7-9aee-9e50ce63085e,2018-08-18T18:59:37+0200,,
ac034c16-dfb7-47e6-873d-1cc7dbffd4c9:seq,23945adb-0c21-441e-9de9-85d99faf3a92,ac034c16-dfb7-47e6-873d-1cc7dbffd4c9,,2018-06-13T12:00:00+0200,time lapse,,,,,,,human,,,,
c024498b-f719-46d1-a4f8-20f9f2917f5d:seq,23945adb-0c21-441e-9de9-85d99faf3a92,c024498b-f719-46d1-a4f8-20f9f2917f5d,,2018-06-14T00:00:00+0200,time lapse,,,,,,,human,,,,
ea999636-ac07-4fde-a464-84e4443aadf4:seq,23945adb-0c21-441e-9de9-85d99faf3a92,ea999636-ac07-4fde-a464-84e4443aadf4,,2018-06-14T12:00:00+0200,time lapse,,,,,,,human,,,,
6f25144f-bd4d-461c-a7c6-393433711ad9:seq,23945adb-0c21-441e-9de9-85d99faf3a92,6f25144f-bd4d-461c-a7c6-393433711ad9,,2018-06-15T00:00:00+0200,time lapse,,,,,,,human,,,,
a50e8960-1c72-44a6-a0fc-d8f83ddb79c8:seq,23945adb-0c21-441e-9de9-85d99faf3a92,a50e8960-1c72-44a6-a0fc-d8f83ddb79c8,,2018-06-15T12:00:00+0200,time lapse,,,,,,,human,,,,
c84ce7f3-9a55-42a1-a156-436c0a7902fc:seq,23945adb-0c21-441e-9de9-85d99faf3a92,c84ce7f3-9a55-42a1-a156-436c0a7902fc,,2018-06-16T00:00:00+0200,time lapse,,,,,,,human,,,,
f26f76e5-4e1e-44ce-9323-364e8cfa56a7:seq,23945adb-0c21-441e-9de9-85d99faf3a92,f26f76e5-4e1e-44ce-9323-364e8cfa56a7,,2018-06-16T12:00:00+0200,time lapse,,,,,,,human,,,,
86a1944f-9d32-4c85-bf3d-110fe02f3b5f:seq,23945adb-0c21-441e-9de9-85d99faf3a92,86a1944f-9d32-4c85-bf3d-110fe02f3b5f,,2018-06-17T00:00:00+0200,time lapse,,,,,,,human,,,,
05d87c71-b5b3-476d-aac8-d6cde463db30:seq,23945adb-0c21-441e-9de9-85d99faf3a92,05d87c71-b5b3-476d-aac8-d6cde463db30,,2018-06-17T12:00:00+0200,time lapse,,,,,,,human,,,,
f6c1f8be-52a8-47a9-9a6a-6ffda9cbf7c7:seq,23945adb-0c21-441e-9de9-85d99faf3a92,f6c1f8be-52a8-47a9-9a6a-6ffda9cbf7c7,,2018-06-18T00:00:00+0200,time lapse,,,,,,,human,,,,
37303dd5-6088-4dae-b07b-ed06155644e3,23945adb-0c21-441e-9de9-85d99faf3a92,db383fab-fffd-424c-bb8e-e63b95a71ea1,,2018-06-18T00:36:56+0200,animal,Sus scrofa,wild boar,1,undefined,female,,human,bf315175-2b1d-40d7-9aee-9e50ce63085e,2018-08-18T19:01:10+0200,,
a424c1d5-f277-4259-a6bd-ba0be79f0f7c,23945adb-0c21-441e-9de9-85d99faf3a92,db383fab-fffd-424c-bb8e-e63b95a71ea1,,2018-06-18T00:36:56+0200,animal,Sus scrofa,wild boar,6,juvenile,undefined,,human,bf315175-2b1d-40d7-9aee-9e50ce63085e,2018-08-18T19:01:25+0200,,
7db4f7cd-d3f6-4b95-bece-cf3e07aa77fa:seq,23945adb-0c21-441e-9de9-85d99faf3a92,7db4f7cd-d3f6-4b95-bece-cf3e07aa77fa,,2018-06-18T12:00:00+0200,time lapse,,,,,,,human,,,,
7e1a1c12-d0f0-442f-8ab5-a8122066dc70:seq,23945adb-0c21-441e-9de9-85d99faf3a92,7e1a1c12-d0f0-442f-8ab5-a8122066dc70,,2018-06-19T00:00:00+0200,time lapse,,,,,,,human,,,,
eb031379-8413-4c6a-bb49-587cd298e5bb,23945adb-0c21-441e-9de9-85d99faf3a92,d5db8e76-280c-4899-8788-0c90eb33b493,,2018-06-19T02:21:33+0200,animal,Sus scrofa,wild boar,1,undefined,male,,human,bf315175-2b1d-40d7-9aee-9e50ce63085e,2018-08-18T19:02:10+0200,,
07919233-0b40-4990-9a0c-dcf8a7ebd85c:seq,23945adb-0c21-441e-9de9-85d99faf3a92,07919233-0b40-4990-9a0c-dcf8a7ebd85c,,2018-06-19T12:00:00+0200,time lapse,,,,,,,human,,,,
1411db26-6e68-4c7d-b180-c72e44a71400:seq,23945adb-0c21-441e-9de9-85d99faf3a92,1411db26-6e68-4c7d-b180-c72e44a71400,,2018-06-20T00:00:00+0200,time lapse,,,,,,,human,,,,
29764b8a-6218-4ca0-a8c6-f0cc9066184b:seq,23945adb-0c21-441e-9de9-85d99faf3a92,29764b8a-6218-4ca0-a8c6-f0cc9066184b,,2018-06-20T12:00:00+0200,time lapse,,,,,,,human,,,,
80d59640-4ea6-4164-a485-9745fa33e8c2:seq,23945adb-0c21-441e-9de9-85d99faf3a92,80d59640-4ea6-4164-a485-9745fa33e8c2,,2018-06-21T00:00:00+0200,time lapse,,,,,,,human,,,,
3bf011f3-e022-42e7-a371-6350568784d1:seq,23945adb-0c21-441e-9de9-85d99faf3a92,3bf011f3-e022-42e7-a371-6350568784d1,,2018-06-21T12:00:00+0200,time lapse,,,,,,,human,,,,
9e168bfb-b38f-4776-a59b-85df214f4b7b:seq,23945adb-0c21-441e-9de9-85d99faf3a92,9e168bfb-b38f-4776-a59b-85df214f4b7b,,2018-06-22T00:00:00+0200,time lapse,,,,,,,human,,,,
c5611ec7-b8bd-4414-9dc0-4797673e055d:seq,23945adb-0c21-441e-9de9-85d99faf3a92,c5611ec7-b8bd-4414-9dc0-4797673e055d,,2018-06-22T12:00:00+0200,time lapse,,,,,,,human,,,,
a0a2260e-2b3a-4c6f-bb0d-2f1a95b470e3:seq,23945adb-0c21-441e-9de9-85d99faf3a92,a0a2260e-2b3a-4c6f-bb0d-2f1a95b470e3,,2018-06-23T00:00:00+0200,time lapse,,,,,,,human,,,,
4d23b0f9-04af-4064-be8e-1939830eb212:seq,23945adb-0c21-441e-9de9-85d99faf3a92,4d23b0f9-04af-4064-be8e-1939830eb212,,2018-06-23T12:00:00+0200,time lapse,,,,,,,human,,,,
87170467-ca24-48d4-8694-1f7c1e1caf53:seq,23945adb-0c21-441e-9de9-85d99faf3a92,87170467-ca24-48d4-8694-1f7c1e1caf53,,2018-06-24T00:00:00+0200,time lapse,,,,,,,human,,,,
5e5258f9-6205-4bdb-9c05-feb5a1a45bc0,23945adb-0c21-441e-9de9-85d99faf3a92,e1085e57-c7a3-4432-a93b-75372097e170,,2018-06-24T02:41:17+0200,animal,Erinaceus europaeus,western European hedgehog,1,undefined,undefined,,human,bf315175-2b1d-40d7-9aee-9e50ce63085e,2018-08-18T19:02:41+0200,,
0e050847-9e3e-4ba0-b9b0-a51b6b7a2dc4:seq,23945adb-0c21-441e-9de9-85d99faf3a92,0e050847-9e3e-4ba0-b9b0-a51b6b7a2dc4,,2018-06-24T12:00:00+0200,time lapse,,,,,,,human,,,,
