occurrenceID,type,format,identifier,created
00b107cb-0702-4927-8164-bd205ad9c6d3,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/2b77c5a7-f26d-432a-beee-7b0ee78ed9f4/file,2020-06-15T21:22:33Z
00b107cb-0702-4927-8164-bd205ad9c6d3,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/b330ab07-bb20-4cfb-8ed8-f8bd3721f0b7/file,2020-06-15T21:22:34Z
00b107cb-0702-4927-8164-bd205ad9c6d3,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/945490fd-eaf7-45b2-ae01-e12d43a4561d/file,2020-06-15T21:22:34Z
00b107cb-0702-4927-8164-bd205ad9c6d3,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/3edaa664-b888-486d-ac4b-fa5bbbd5f214/file,2020-06-15T21:22:35Z
00b107cb-0702-4927-8164-bd205ad9c6d3,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/f0dab57e-e0e7-4946-95ab-04480ca1aa0b/file,2020-06-15T21:22:35Z
00b107cb-0702-4927-8164-bd205ad9c6d3,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/0b5a818d-3a40-496d-bd2a-91316705db6b/file,2020-06-15T21:22:36Z
00b107cb-0702-4927-8164-bd205ad9c6d3,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/c353defa-9593-4326-9f22-dd2717b5f328/file,2020-06-15T21:22:37Z
00b107cb-0702-4927-8164-bd205ad9c6d3,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/4b879b48-ca1d-4bca-9540-cb1a7be2689f/file,2020-06-15T21:22:37Z
00b107cb-0702-4927-8164-bd205ad9c6d3,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/84ea33f3-98ec-414a-b942-a2fb2122913e/file,2020-06-15T21:22:38Z
00b107cb-0702-4927-8164-bd205ad9c6d3,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/cb172890-638b-4646-8176-b6d0bb4c0360/file,2020-06-15T21:22:38Z
00f53adb-c6f8-4b4d-99b7-e1dbb5433c74,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/c06f0738-82b5-4dac-a8ee-2a38314ed68e/file,2020-07-02T04:01:41Z
00f53adb-c6f8-4b4d-99b7-e1dbb5433c74,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/9e804f88-ffe1-4fc8-8227-c18b4816e29d/file,2020-07-02T04:01:42Z
00f53adb-c6f8-4b4d-99b7-e1dbb5433c74,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/0dbacf44-6ec7-43d7-b0d2-c4fa1b87321d/file,2020-07-02T04:01:43Z
00f53adb-c6f8-4b4d-99b7-e1dbb5433c74,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/03c0d33b-2618-48df-84ac-7629062a1acd/file,2020-07-02T04:01:43Z
00f53adb-c6f8-4b4d-99b7-e1dbb5433c74,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/5a4563e7-d730-4815-81d9-2cc48c0b2f9d/file,2020-07-02T04:01:44Z
00f53adb-c6f8-4b4d-99b7-e1dbb5433c74,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/71850631-b498-42ac-915a-e3b67e16dd5c/file,2020-07-02T04:01:44Z
00f53adb-c6f8-4b4d-99b7-e1dbb5433c74,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/ca115db7-894b-4256-baa2-6eaf25335bef/file,2020-07-02T04:01:45Z
00f53adb-c6f8-4b4d-99b7-e1dbb5433c74,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/0d6b2ba1-7607-4cd4-b5f6-42c4d7ec8a47/file,2020-07-02T04:01:46Z
00f53adb-c6f8-4b4d-99b7-e1dbb5433c74,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/566694aa-eb1b-49d6-b03a-e1bcdac9d1f0/file,2020-07-02T04:01:46Z
00f53adb-c6f8-4b4d-99b7-e1dbb5433c74,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/6b701086-77cf-4b07-9589-4a2b9c3618b2/file,2020-07-02T04:01:47Z
023d032d-624f-4dcd-915d-ab43ab1955d2,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/235f0b27-9620-48f4-bf9c-6d65e4150c9a/file,2020-06-20T20:17:11Z
023d032d-624f-4dcd-915d-ab43ab1955d2,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/9474b1e6-e668-4d1f-ac91-fbfe641a9c39/file,2020-06-20T20:17:12Z
023d032d-624f-4dcd-915d-ab43ab1955d2,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/8c46fbb7-4f14-4570-8013-6868efe29326/file,2020-06-20T20:17:13Z
023d032d-624f-4dcd-915d-ab43ab1955d2,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/26eaa2f3-3278-46df-ba77-946515c4ace9/file,2020-06-20T20:17:14Z
023d032d-624f-4dcd-915d-ab43ab1955d2,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/65e51fe8-5c98-4691-9ffc-36f52fbbb772/file,2020-06-20T20:17:14Z
023d032d-624f-4dcd-915d-ab43ab1955d2,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/40d19d4f-67db-468d-8db4-4e7fdba84293/file,2020-06-20T20:17:15Z
023d032d-624f-4dcd-915d-ab43ab1955d2,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/67673a58-5c41-433a-8d57-7cc02cd45fcc/file,2020-06-20T20:17:15Z
023d032d-624f-4dcd-915d-ab43ab1955d2,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/646e015c-142f-4a61-bcf9-1a6754ce0abd/file,2020-06-20T20:17:16Z
023d032d-624f-4dcd-915d-ab43ab1955d2,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/b51eb47d-9d57-4ea6-9642-5124c0e805c9/file,2020-06-20T20:17:17Z
023d032d-624f-4dcd-915d-ab43ab1955d2,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/194bd113-80d7-43b8-90c1-2772a22ae457/file,2020-06-20T20:17:17Z
03346b33-3ae2-4aa6-8fda-e91429c76c64,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/1226d548-ec57-4e66-8d7e-7a6cafddb03f/file,2020-06-11T22:01:32Z
03346b33-3ae2-4aa6-8fda-e91429c76c64,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/80154f58-f347-46d5-aec7-fafe0a1168b9/file,2020-06-11T22:01:32Z
03346b33-3ae2-4aa6-8fda-e91429c76c64,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/6bc3d39f-c81b-439b-91b2-9829b1b77424/file,2020-06-11T22:01:33Z
03346b33-3ae2-4aa6-8fda-e91429c76c64,StillImage,image/jpeg,https://multimedia.agouti.eu/assets/bf8956d9-c5f4-4b44-a428-1e8820b9ad7f/file,2020-06-11T22:01:33Z
