occurrenceID,type,basisOfRecord,occurrenceRemarks,individualCount,sex,lifeStage,behavior,occurrenceStatus,organismID,eventID,samplingProtocol,eventDate,eventRemarks,locationID,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,identifiedBy,dateIdentified,identificationRemarks,identificationVerificationStatus,taxonID,scientificName,kingdom
d07ef55f-5b39-4828-830d-838c1a4c9af9,Event,MachineObservation,,1,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-10T20:16:35Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T09:41:45Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
d0b0f865-5728-44df-8d1e-2a4e22a3f604,Event,MachineObservation,,1,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-07T20:40:38Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T09:26:05Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
d1ddc6a2-6358-4ed5-9d17-e4efce2a1bc0,Event,MachineObservation,"MOEDER EN 5 KLEINTJES",6,,juvenile,,present,,6b1199ac-e6e4-4eb4-a625-6ee8f9db09f1,"camera trap (motion detection)",2020-06-14T03:13:51Z,"tags: boven de stroom",91d9abdd-da56-49a0-8c07-fa6305f39d6c,"B_ML_val 05_molenkreek",,51.283,3.567,WGS84,"Wouter Franceus",2020-07-09T08:27:12Z,"classification method: human",,DGP6,"Anas platyrhynchos",Animalia
d2218c28-78f3-4f2f-b046-d8281ff4eb02,Event,MachineObservation,,1,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-07-03T20:12:05Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T11:31:16Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
d2a4f3c2-0079-4f37-a764-b9eecbed3801,Event,MachineObservation,,1,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-07-02T01:05:28Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Axel Neukermans",2020-10-27T13:23:33Z,"classification method: human",1.0,6RRQT,"Myocastor coypus",Animalia
d5509ef1-f960-4463-bfc8-7624980d20a6,Event,MachineObservation,,1,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-05T21:00:18Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T09:18:27Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
d62c2356-e3fb-42d9-b312-ed7b02309387,Event,MachineObservation,,1,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-05T22:09:28Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T09:18:59Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
db74ad49-e060-43a3-8748-6471fdcd919d,Event,MachineObservation,,1,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-21T02:34:12Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T10:25:25Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
db98a9e0-0162-4d88-bba2-c7de25a41510,Event,MachineObservation,,1,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-18T23:52:30Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T10:19:19Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
dc89086b-8611-4b35-bd23-a00ff67cb641,Event,MachineObservation,,1,,adult,,present,,3b94f935-020f-49d8-bd59-1736f8a266c4,"camera trap (motion detection)",2020-06-06T02:17:36Z,"tags: boven de stroom",9a72bd3a-2243-4ced-af9f-34df32483e55,"B_ML_val 03_De Val",,51.275,3.551,WGS84,"Wouter Franceus",2020-07-09T09:21:54Z,"classification method: human",,4RM67,"Rattus norvegicus",Animalia
