event-id,visible,timestamp,acceleration-x,acceleration-y,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
1903636419,true,2014-02-11 21:40:00.000,0.0,0.0,acceleration,Puma concolor,F53,F53,"Site fidelity in cougars and coyotes, Utah/Idaho USA (data from Mahoney et al. 2016)"
1903636420,true,2014-02-11 21:45:00.000,0.0,0.0,acceleration,Puma concolor,F53,F53,"Site fidelity in cougars and coyotes, Utah/Idaho USA (data from Mahoney et al. 2016)"
1903636421,true,2014-02-11 21:50:00.000,0.0,0.0,acceleration,Puma concolor,F53,F53,"Site fidelity in cougars and coyotes, Utah/Idaho USA (data from Mahoney et al. 2016)"
1903636422,true,2014-02-11 21:55:00.000,0.0,0.0,acceleration,Puma concolor,F53,F53,"Site fidelity in cougars and coyotes, Utah/Idaho USA (data from Mahoney et al. 2016)"
1903636423,true,2014-02-11 22:00:00.000,0.0,0.0,acceleration,Puma concolor,F53,F53,"Site fidelity in cougars and coyotes, Utah/Idaho USA (data from Mahoney et al. 2016)"
1903636424,true,2014-02-11 22:05:00.000,0.0,0.0,acceleration,Puma concolor,F53,F53,"Site fidelity in cougars and coyotes, Utah/Idaho USA (data from Mahoney et al. 2016)"
1903636425,true,2014-02-11 22:10:00.000,0.0,0.0,acceleration,Puma concolor,F53,F53,"Site fidelity in cougars and coyotes, Utah/Idaho USA (data from Mahoney et al. 2016)"
1903636426,true,2014-02-11 22:15:00.000,0.0,0.0,acceleration,Puma concolor,F53,F53,"Site fidelity in cougars and coyotes, Utah/Idaho USA (data from Mahoney et al. 2016)"
1903636427,true,2014-02-11 22:20:00.000,0.0,0.0,acceleration,Puma concolor,F53,F53,"Site fidelity in cougars and coyotes, Utah/Idaho USA (data from Mahoney et al. 2016)"
1903636428,true,2014-02-11 22:25:00.000,0.0,21.0,acceleration,Puma concolor,F53,F53,"Site fidelity in cougars and coyotes, Utah/Idaho USA (data from Mahoney et al. 2016)"
