occurrenceID,type,datasetName,basisOfRecord,dataGeneralizations,occurrenceStatus,organismID,organismName,eventID,samplingProtocol,eventDate,minimumDistanceAboveSurfaceInMeters,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,scientificName,kingdom
12593758715,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 1 records",present,L907172,Eric,851-L907172,gps,2013-05-28T11:30:45Z,7.0,51.3392167,3.1789169,WGS84,5.0,"Larus fuscus",Animalia
12593758716,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 2 records",present,L907172,Eric,851-L907172,gps,2013-05-28T12:18:36Z,12.0,51.3407986,3.1828845,WGS84,8.3,"Larus fuscus",Animalia
12593758718,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 2 records",present,L907172,Eric,851-L907172,gps,2013-05-28T13:21:09Z,8.0,51.3406711,3.1823967,WGS84,8.2,"Larus fuscus",Animalia
12593712917,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 3 records",present,L907004,Jasmin,858-L907004,gps,2013-05-28T14:28:31Z,6.0,51.3393607,3.1788417,WGS84,20.9,"Larus fuscus",Animalia
12593712918,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 4 records",present,L907004,Jasmin,858-L907004,gps,2013-05-28T15:01:21Z,6.0,51.3422537,3.1790803,WGS84,4.5,"Larus fuscus",Animalia
12593712920,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 9 records",present,L907004,Jasmin,858-L907004,gps,2013-05-28T16:03:48Z,-3.0,51.3413335,3.1807638,WGS84,10.7,"Larus fuscus",Animalia
12593712925,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 18 records",present,L907004,Jasmin,858-L907004,gps,2013-05-28T17:03:56Z,12.0,51.3413628,3.1807712,WGS84,34.5,"Larus fuscus",Animalia
12593712932,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 17 records",present,L907004,Jasmin,858-L907004,gps,2013-05-28T18:04:04Z,7.0,51.3413482,3.1807341,WGS84,8.1,"Larus fuscus",Animalia
12593712941,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 18 records",present,L907004,Jasmin,858-L907004,gps,2013-05-28T19:04:53Z,4.0,51.3413424,3.1807531,WGS84,15.0,"Larus fuscus",Animalia
12593712950,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 44 records",present,L907004,Jasmin,858-L907004,gps,2013-05-28T20:01:24Z,11.0,51.3426599,3.1801435,WGS84,11.8,"Larus fuscus",Animalia
12593712986,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 20 records",present,L907004,Jasmin,858-L907004,gps,2013-05-28T21:01:18Z,-7.0,51.3422608,3.1783451,WGS84,10.5,"Larus fuscus",Animalia
12593712998,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 21 records",present,L907004,Jasmin,858-L907004,gps,2013-05-28T22:02:39Z,2.0,51.3426569,3.1769478,WGS84,7.0,"Larus fuscus",Animalia
12593713010,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 19 records",present,L907004,Jasmin,858-L907004,gps,2013-05-28T23:00:19Z,10.0,51.3422107,3.1786295,WGS84,5.9,"Larus fuscus",Animalia
12593713021,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 19 records",present,L907004,Jasmin,858-L907004,gps,2013-05-29T00:00:35Z,13.0,51.3413857,3.1783453,WGS84,13.2,"Larus fuscus",Animalia
12593713033,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 21 records",present,L907004,Jasmin,858-L907004,gps,2013-05-29T01:04:48Z,-3.0,51.3414095,3.1781534,WGS84,26.1,"Larus fuscus",Animalia
