occurrenceID,type,datasetName,basisOfRecord,dataGeneralizations,occurrenceStatus,organismID,organismName,eventID,samplingProtocol,eventDate,minimumDistanceAboveSurfaceInMeters,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,scientificName,kingdom
12593713045,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 18 records",present,L907004,Jasmin,858-L907004,gps,2013-05-29T02:03:48Z,4.0,51.3413869,3.178293,WGS84,18.9,"Larus fuscus",Animalia
12593713054,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 17 records",present,L907004,Jasmin,858-L907004,gps,2013-05-29T03:03:17Z,-1.0,51.3413937,3.1807908,WGS84,18.2,"Larus fuscus",Animalia
12593713063,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 24 records",present,L907004,Jasmin,858-L907004,gps,2013-05-29T04:00:09Z,2.0,51.3413595,3.1807559,WGS84,3.9,"Larus fuscus",Animalia
12593713076,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 24 records",present,L907004,Jasmin,858-L907004,gps,2013-05-29T05:02:45Z,6.0,51.3413438,3.1807354,WGS84,14.3,"Larus fuscus",Animalia
12593713088,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 23 records",present,L907004,Jasmin,858-L907004,gps,2013-05-29T06:01:07Z,11.0,51.3413406,3.1807538,WGS84,6.1,"Larus fuscus",Animalia
12593713099,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 24 records",present,L907004,Jasmin,858-L907004,gps,2013-05-29T07:01:09Z,0.0,51.3413575,3.1807898,WGS84,7.3,"Larus fuscus",Animalia
12593713111,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 23 records",present,L907004,Jasmin,858-L907004,gps,2013-05-29T08:00:48Z,3.0,51.341366,3.1807797,WGS84,13.7,"Larus fuscus",Animalia
12593713123,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 23 records",present,L907004,Jasmin,858-L907004,gps,2013-05-29T09:02:23Z,1.0,51.3413775,3.1807253,WGS84,13.7,"Larus fuscus",Animalia
12593697227,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 30 records",present,L906682,Hans,861-L906682,gps,2013-05-29T10:00:51Z,8.0,51.3392674,3.1791809,WGS84,4.3,"Larus fuscus",Animalia
12593697233,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 29 records",present,L906682,Hans,861-L906682,gps,2013-05-29T11:23:39Z,-7.0,51.3393308,3.1791578,WGS84,67.3,"Larus fuscus",Animalia
12593697237,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 29 records",present,L906682,Hans,861-L906682,gps,2013-05-29T12:07:26Z,6.0,51.3421156,3.1774613,WGS84,11.2,"Larus fuscus",Animalia
12593697244,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 23 records",present,L906682,Hans,861-L906682,gps,2013-05-29T13:54:28Z,-2.0,51.3392885,3.1791426,WGS84,13.5,"Larus fuscus",Animalia
12593713181,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 19 records",present,L907004,Jasmin,858-L907004,gps,2013-05-29T14:04:02Z,4.0,51.3414124,3.1807325,WGS84,33.8,"Larus fuscus",Animalia
12593697245,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 22 records",present,L906682,Hans,861-L906682,gps,2013-05-29T15:44:00Z,9.0,51.3411755,3.1804786,WGS84,22.1,"Larus fuscus",Animalia
12593697246,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 22 records",present,L906682,Hans,861-L906682,gps,2013-05-29T16:14:39Z,4.0,51.3426405,3.1801738,WGS84,15.7,"Larus fuscus",Animalia
12593697248,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 19 records",present,L906682,Hans,861-L906682,gps,2013-05-29T17:15:06Z,-3.0,51.3411964,3.1805005,WGS84,10.0,"Larus fuscus",Animalia
12593697250,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 17 records",present,L906682,Hans,861-L906682,gps,2013-05-29T18:15:09Z,0.0,51.3439992,3.1805368,WGS84,6.9,"Larus fuscus",Animalia
12593697252,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 50 records",present,L906682,Hans,861-L906682,gps,2013-05-29T19:14:49Z,0.0,51.3411962,3.1805169,WGS84,9.2,"Larus fuscus",Animalia
12593697254,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 19 records",present,L906682,Hans,861-L906682,gps,2013-05-29T20:15:03Z,0.0,51.3412465,3.1804912,WGS84,30.3,"Larus fuscus",Animalia
12593697256,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 18 records",present,L906682,Hans,861-L906682,gps,2013-05-29T21:46:52Z,-12.0,51.341828,3.1812014,WGS84,23.5,"Larus fuscus",Animalia
12593697257,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 21 records",present,L906682,Hans,861-L906682,gps,2013-05-29T22:47:13Z,4.0,51.3411781,3.180529,WGS84,9.4,"Larus fuscus",Animalia
12593697258,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 22 records",present,L906682,Hans,861-L906682,gps,2013-05-29T23:48:03Z,5.0,51.3411709,3.1805638,WGS84,17.5,"Larus fuscus",Animalia
12593697259,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 18 records",present,L906682,Hans,861-L906682,gps,2013-05-30T00:48:25Z,2.0,51.3411793,3.1805331,WGS84,6.9,"Larus fuscus",Animalia
12593697260,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 17 records",present,L906682,Hans,861-L906682,gps,2013-05-30T01:48:35Z,-15.0,51.3413026,3.1805496,WGS84,15.6,"Larus fuscus",Animalia
12593697261,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 18 records",present,L906682,Hans,861-L906682,gps,2013-05-30T02:49:09Z,3.0,51.3411873,3.1805302,WGS84,4.4,"Larus fuscus",Animalia
12593697262,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 18 records",present,L906682,Hans,861-L906682,gps,2013-05-30T03:19:07Z,6.0,51.3411937,3.1805208,WGS84,6.1,"Larus fuscus",Animalia
12593697264,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 18 records",present,L906682,Hans,861-L906682,gps,2013-05-30T04:19:21Z,-4.0,51.3412697,3.1804724,WGS84,11.6,"Larus fuscus",Animalia
12593697266,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 94 records",present,L906682,Hans,861-L906682,gps,2013-05-30T05:19:36Z,28.0,51.2129528,3.2247725,WGS84,8.4,"Larus fuscus",Animalia
12593697268,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 136 records",present,L906682,Hans,861-L906682,gps,2013-05-30T06:19:20Z,7.0,51.2134399,3.2270856,WGS84,7.6,"Larus fuscus",Animalia
12593697270,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 145 records",present,L906682,Hans,861-L906682,gps,2013-05-30T07:19:20Z,19.0,51.2128704,3.2233211,WGS84,7.2,"Larus fuscus",Animalia
12593697272,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 144 records",present,L906682,Hans,861-L906682,gps,2013-05-30T08:19:36Z,21.0,51.2131506,3.2262458,WGS84,5.4,"Larus fuscus",Animalia
12593697274,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 126 records",present,L906682,Hans,861-L906682,gps,2013-05-30T09:19:36Z,0.0,51.2133613,3.2267016,WGS84,8.7,"Larus fuscus",Animalia
12593697276,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 137 records",present,L906682,Hans,861-L906682,gps,2013-05-30T10:19:38Z,5.0,51.3024741,3.2091963,WGS84,6.6,"Larus fuscus",Animalia
12593697278,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 148 records",present,L906682,Hans,861-L906682,gps,2013-05-30T11:19:56Z,11.0,51.3412286,3.1806367,WGS84,34.3,"Larus fuscus",Animalia
12593644410,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 148 records",present,L906623,Marc,744-L906623,gps,2013-05-30T12:58:02Z,0.0,51.3464919,3.1793683,WGS84,10.9,"Larus fuscus",Animalia
12593644411,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 93 records",present,L906623,Marc,744-L906623,gps,2013-05-30T13:27:55Z,11.0,51.3465761,3.1792846,WGS84,20.1,"Larus fuscus",Animalia
12593644413,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 78 records",present,L906623,Marc,744-L906623,gps,2013-05-30T14:28:13Z,18.0,51.3466282,3.1792613,WGS84,19.5,"Larus fuscus",Animalia
12593602533,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 48 records",present,L904812,Kees,703-L904812,gps,2013-05-30T15:48:44Z,2.0,51.3428806,3.1800905,WGS84,6.0,"Larus fuscus",Animalia
12593602534,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 42 records",present,L904812,Kees,703-L904812,gps,2013-05-30T16:19:21Z,-1.0,51.3428492,3.1801077,WGS84,9.1,"Larus fuscus",Animalia
12593602536,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 90 records",present,L904812,Kees,703-L904812,gps,2013-05-30T17:21:27Z,6.0,51.3429101,3.1802957,WGS84,7.8,"Larus fuscus",Animalia
12593602538,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 100 records",present,L904812,Kees,703-L904812,gps,2013-05-30T18:25:07Z,6.0,51.3428845,3.1803894,WGS84,8.8,"Larus fuscus",Animalia
12593602540,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 76 records",present,L904812,Kees,703-L904812,gps,2013-05-30T19:25:38Z,5.0,51.3428917,3.1804346,WGS84,6.8,"Larus fuscus",Animalia
12593602542,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 31 records",present,L904812,Kees,703-L904812,gps,2013-05-30T20:25:28Z,8.0,51.3431673,3.1852353,WGS84,8.3,"Larus fuscus",Animalia
12593602544,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 10 records",present,L904812,Kees,703-L904812,gps,2013-05-30T21:55:52Z,-2.0,51.3432066,3.185156,WGS84,6.8,"Larus fuscus",Animalia
12593602545,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 11 records",present,L904812,Kees,703-L904812,gps,2013-05-30T22:56:08Z,8.0,51.3432256,3.1852329,WGS84,5.7,"Larus fuscus",Animalia
12593602546,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 12 records",present,L904812,Kees,703-L904812,gps,2013-05-30T23:57:08Z,10.0,51.3431747,3.1852259,WGS84,10.6,"Larus fuscus",Animalia
12593602547,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 12 records",present,L904812,Kees,703-L904812,gps,2013-05-31T00:57:47Z,2.0,51.3431847,3.1852191,WGS84,32.1,"Larus fuscus",Animalia
12593602548,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 11 records",present,L904812,Kees,703-L904812,gps,2013-05-31T01:58:17Z,-8.0,51.3437929,3.1824101,WGS84,10.4,"Larus fuscus",Animalia
12593602549,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 12 records",present,L904812,Kees,703-L904812,gps,2013-05-31T02:59:06Z,4.0,51.3437706,3.1824743,WGS84,4.8,"Larus fuscus",Animalia
12593602550,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 27 records",present,L904812,Kees,703-L904812,gps,2013-05-31T03:31:19Z,7.0,51.3431878,3.1852121,WGS84,4.8,"Larus fuscus",Animalia
12593602551,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 41 records",present,L904812,Kees,703-L904812,gps,2013-05-31T04:01:11Z,4.0,51.3431875,3.1852303,WGS84,5.0,"Larus fuscus",Animalia
12593602553,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 94 records",present,L904812,Kees,703-L904812,gps,2013-05-31T05:01:29Z,6.0,51.343156,3.1852525,WGS84,9.7,"Larus fuscus",Animalia
12593602555,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 218 records",present,L904812,Kees,703-L904812,gps,2013-05-31T06:03:08Z,2.0,51.343175,3.185283,WGS84,4.0,"Larus fuscus",Animalia
12593602557,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 202 records",present,L904812,Kees,703-L904812,gps,2013-05-31T07:03:04Z,25.0,51.3369308,3.189048,WGS84,7.4,"Larus fuscus",Animalia
12593602563,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 162 records",present,L904812,Kees,703-L904812,gps,2013-05-31T08:03:37Z,87.0,51.3437962,3.1845616,WGS84,9.9,"Larus fuscus",Animalia
12593602571,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 175 records",present,L904812,Kees,703-L904812,gps,2013-05-31T09:00:26Z,20.0,51.3431554,3.1853642,WGS84,42.3,"Larus fuscus",Animalia
12593602581,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 171 records",present,L904812,Kees,703-L904812,gps,2013-05-31T10:02:09Z,-14.0,51.3432339,3.1853503,WGS84,8.8,"Larus fuscus",Animalia
12593546308,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 183 records",present,L902124,Wouter,755-L902124,gps,2013-05-31T11:35:51Z,2.0,51.3436811,3.1869308,WGS84,12.3,"Larus fuscus",Animalia
12593546312,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 196 records",present,L902124,Wouter,755-L902124,gps,2013-05-31T12:07:50Z,10.0,51.3439155,3.1857674,WGS84,23.2,"Larus fuscus",Animalia
12593546313,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 159 records",present,L902124,Wouter,755-L902124,gps,2013-05-31T13:10:45Z,7.0,51.3427407,3.1847434,WGS84,8.0,"Larus fuscus",Animalia
12593546321,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 141 records",present,L902124,Wouter,755-L902124,gps,2013-05-31T14:01:05Z,11.0,51.342936,3.182147,WGS84,13.4,"Larus fuscus",Animalia
12593546329,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 155 records",present,L902124,Wouter,755-L902124,gps,2013-05-31T15:00:49Z,9.0,51.3429646,3.1821027,WGS84,7.1,"Larus fuscus",Animalia
12593546338,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 186 records",present,L902124,Wouter,755-L902124,gps,2013-05-31T16:00:34Z,5.0,51.343374,3.1791572,WGS84,7.0,"Larus fuscus",Animalia
12593546398,Event,"LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)",MachineObservation,"subsampled by hour: first of 126 records",present,L902124,Wouter,755-L902124,gps,2013-05-31T17:00:17Z,17.0,51.355209,3.184126,WGS84,9.4,"Larus fuscus",Animalia
