occurrenceID,type,basisOfRecord,occurrenceRemarks,individualCount,sex,lifeStage,behavior,occurrenceStatus,organismID,organismRemarks,eventID,samplingProtocol,eventDate,eventRemarks,locationID,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,identifiedBy,dateIdentified,identificationRemarks,identificationVerificationStatus,scientificName,kingdom,vernacularName
00d13810-471f-4e16-b237-b365e22adcbf,Event,MachineObservation,,1,undefined,adult,,present,,,ac911ed5-093c-4726-93a2-ed7aba2ddae5,"camera trap (motion detection) without bait",2018-06-22T11:04:08Z,"tags: Heverleebos",075737ee-a0f2-4e2d-b67e-7db7ddbfeb84,2018_3_1600,,50.83689,4.69752,WGS84,"Niko Boone",2018-09-26T08:42:58Z,"classification method: human",,"Vulpes vulpes",Animalia,"Red Fox"
02bb5d7c-3ce6-4415-9de9-e438a3d02d1a,Event,MachineObservation,,1,female,adult,,present,,,7e0fa581-9aa6-4a53-bdb3-57095c739329,"camera trap (motion detection) without bait",2018-06-21T04:32:32Z,"tags: Meerdaal Oost",54f1c369-fbb4-48cb-a290-3621d9b8a3e6,2018_3_956,,50.805,4.72667,WGS84,"Palma Iacobelli",2018-10-26T07:19:45Z,"classification method: human",,"Sus scrofa",Animalia,"wild boar"
04f8baa3-adfa-404b-b972-16334734609d,Event,MachineObservation,,1,,,,present,,,dde4a152-fc90-4f17-836e-9b0c85789340,"camera trap (motion detection) without bait",2018-07-08T20:37:37Z,"tags: Meerdaal Oost",76c42412-9da7-41f2-9634-dd4ba1f1c327,2019_5_956,,50.805,4.72667,WGS84,"Joris Vernaillen",2019-08-30T13:08:01Z,"classification method: human",,"Sus scrofa",Animalia,"wild boar"
068d6630-1018-4db9-99b5-b133636318f8,Event,MachineObservation,,1,undefined,undefined,,present,,,e6f6eea4-861a-45a3-8693-e7c12a06bb37,"camera trap (motion detection) without bait",2018-06-16T02:17:16Z,"tags: Meerdaal West",5b251e28-b2e0-4e1e-a07d-620f432dbe7b,2018_3_807,,50.79852,4.70523,WGS84,"Palma Iacobelli",2018-11-15T09:54:20Z,"classification method: human",,"Vulpes vulpes",Animalia,"Red Fox"
07c90f15-5168-47bb-b927-c0132907085f,Event,MachineObservation,,1,male,adult,,present,,,4a2fb56a-dcf1-4373-8090-e91cde99832f,"camera trap (motion detection) without bait",2018-07-04T23:40:31Z,"tags: Meerdaal Oost",7cd880d5-0b63-4ea3-8678-b1191cc32a6e,2018_3_1173,,50.81397,4.73384,WGS84,"Palma Iacobelli",2018-11-19T11:53:06Z,"classification method: human",,"Sus scrofa",Animalia,"wild boar"
0dd460e7-f4f3-4e90-9ec6-4a9eefd3555b,Event,MachineObservation,,1,undefined,juvenile,,present,,,e6f6eea4-861a-45a3-8693-e7c12a06bb37,"camera trap (motion detection) without bait",2018-06-12T01:08:56Z,"tags: Meerdaal West",5b251e28-b2e0-4e1e-a07d-620f432dbe7b,2018_3_807,,50.79852,4.70523,WGS84,"Kathleen Vanhuyse",2018-08-18T19:16:39Z,"classification method: human",,"Vulpes vulpes",Animalia,"Red Fox"
0e445e3b-647f-400d-bc4e-7f5b511e1914,Event,MachineObservation,,1,female,juvenile,,present,,,7e0fa581-9aa6-4a53-bdb3-57095c739329,"camera trap (motion detection) without bait",2018-07-04T06:17:24Z,"tags: Meerdaal Oost",54f1c369-fbb4-48cb-a290-3621d9b8a3e6,2018_3_956,,50.805,4.72667,WGS84,"Palma Iacobelli",2018-10-26T07:36:49Z,"classification method: human",,"Capreolus capreolus",Animalia,"western roe deer"
0fa53352-30f0-4f0d-829b-c4a74dc9ee9a,Event,MachineObservation,,12,undefined,juvenile,,present,,,23945adb-0c21-441e-9de9-85d99faf3a92,"camera trap (motion detection) with food bait",2018-06-12T21:20:30Z,"apples as bait | tags: Meerdaal West",102e24cc-f0be-4d76-a0a7-207df901f59c,2018_3_751,,50.79618,4.66667,WGS84,"Kathleen Vanhuyse",2018-08-18T18:58:44Z,"classification method: human",,"Sus scrofa",Animalia,"wild boar"
10d47dd4-8d8d-496a-a0bb-79e443c001bb,Event,MachineObservation,,1,female,juvenile,,present,,,4a2fb56a-dcf1-4373-8090-e91cde99832f,"camera trap (motion detection) without bait",2018-07-02T06:06:49Z,"tags: Meerdaal Oost",7cd880d5-0b63-4ea3-8678-b1191cc32a6e,2018_3_1173,,50.81397,4.73384,WGS84,"Palma Iacobelli",2018-11-19T11:52:11Z,"classification method: human",,"Capreolus capreolus",Animalia,"western roe deer"
10f5ff14-bb7a-49ee-a73f-c47afb5d128b,Event,MachineObservation,moederdier,1,female,undefined,,present,,,f9a655f1-d402-4bf4-a180-d38877f7e238,"camera trap (motion detection) without bait",2018-06-11T06:37:31Z,"tags: Meerdaal West",552b4792-3547-42ca-85d6-4fa5f0092fa8,2018_3_998,,50.80767,4.69119,WGS84,"Niko Boone",2018-10-10T14:42:05Z,"classification method: human",,"Sus scrofa",Animalia,"wild boar"
