eventID,type,samplingProtocol,eventDate,eventRemarks,locationID,locality,decimalLatitude,decimalLongitude,geodeticDatum
1308f068-83ac-4432-90ea-619fa3154579,Event,"camera trap",2018-06-07T09:35:05Z/2018-07-03T11:51:17Z,"test deployment | tags: Meerdaal West",60c07798-f069-4dcc-997f-8243272609f1,2018_3_1002,50.807124,4.70656,WGS84
23945adb-0c21-441e-9de9-85d99faf3a92,Event,"camera trap",2018-06-02T10:37:55Z/2018-07-06T18:15:18Z,"tags: Meerdaal West",102e24cc-f0be-4d76-a0a7-207df901f59c,2018_3_751,50.796181,4.666669,WGS84
4a2fb56a-dcf1-4373-8090-e91cde99832f,Event,"camera trap",2018-06-08T14:10:05Z/2018-07-09T17:45:49Z,"tags: Meerdaal Oost",7cd880d5-0b63-4ea3-8678-b1191cc32a6e,2018_3_1173,50.8139681824,4.73383523173,WGS84
562ce88f-0b02-41e5-9b5a-80b5e0b5b40e,Event,"camera trap",2018-06-08T13:44:28Z/2018-07-09T17:38:18Z,"tags: Meerdaal Oost",2caebcc9-dc8a-4aee-acc8-9abb8f0a7edb,2018_3_909,50.8027312984,4.73374774035,WGS84
63e66e2c-db46-4091-a180-aa35a76f1d37,Event,"camera trap",2018-06-08T14:23:49Z/2018-07-09T17:58:23Z,"tags: Meerdaal Oost",e6143a98-ecfd-49fd-ab08-ddf7a5be5ce7,2018_3_1280,50.8184405327,4.7409655643,WGS84
68967df1-2a14-4180-83c7-bded3faf17d0,Event,"camera trap",2018-06-02T14:00:00Z/2018-07-04T17:22:01Z,"tags: Meerdaal West",19e7d52d-3943-4350-be6b-542097796821,2018_3_760,50.796514,4.698546,WGS84
749161ca-5993-4965-beb1-84ac9fc54b28,Event,"camera trap",2018-06-02T15:30:53Z/2018-07-04T16:58:16Z,"tags: Meerdaal West",b4a5575f-a185-4bf6-a8c4-81a6554ee3c4,2018_3_1108,50.811901,4.69797,WGS84
7de2324a-9f15-42bb-a60f-152154da9262,Event,"camera trap",2018-06-05T12:02:49Z/2018-07-05T09:20:23Z,"tags: Heverleebos",22edbc0b-7acc-4207-a681-c3149b63f87a,2018_3_1445,50.827473,4.677107,WGS84
7e0fa581-9aa6-4a53-bdb3-57095c739329,Event,"camera trap",2018-06-08T13:30:22Z/2018-07-09T17:28:14Z,"tags: Meerdaal Oost",54f1c369-fbb4-48cb-a290-3621d9b8a3e6,2018_3_956,50.805000636,4.72667193768,WGS84
880c2407-09a4-448b-b246-b3a04a322277,Event,"camera trap",2018-06-05T12:20:32Z/2018-07-05T08:17:42Z,"tags: Heverleebos",f289e9b9-271e-4aa1-ab29-a16f8aa3ba87,2018_3_1563,50.834305,4.690894,WGS84
89b1d091-e7ba-4254-9924-ee46bbd2a2b5,Event,"camera trap",2018-06-07T08:35:11Z/2018-07-03T11:19:19Z,"tags: Meerdaal West",faea3ab8-58f7-4741-9acc-0291c2f69e5f,2018_3_1258,50.819121,4.663401,WGS84
922bc316-8904-44d5-9e28-4dac09b755d2,Event,"camera trap",2018-06-05T12:53:34Z/2018-07-04T09:11:07Z,"tags: Heverleebos",1314b4e1-c4aa-4472-8c50-c9cfca27336b,2018_3_1775,50.84986,4.680633,WGS84
94f0d31f-a775-447e-ac74-715d6042e52e,Event,"camera trap",2018-06-02T08:50:50Z/2018-06-29T17:09:08Z,"tags: Meerdaal West",82d0f36a-9783-49e5-b864-9994425d1dbb,2018_3_1046,50.809581,4.673482,WGS84
ac911ed5-093c-4726-93a2-ed7aba2ddae5,Event,"camera trap",2018-06-05T10:45:11Z/2018-07-04T10:22:47Z,"tags: Heverleebos",075737ee-a0f2-4e2d-b67e-7db7ddbfeb84,2018_3_1600,50.836886,4.697516,WGS84
dde4a152-fc90-4f17-836e-9b0c85789340,Event,"camera trap",2018-06-27T11:53:20Z/2018-07-17T06:49:03Z,"tags: Meerdaal Oost",76c42412-9da7-41f2-9634-dd4ba1f1c327,2019_5_956,50.805001,4.726672,WGS84
e6f6eea4-861a-45a3-8693-e7c12a06bb37,Event,"camera trap",2018-06-02T14:30:48Z/2018-07-04T17:37:20Z,"tags: Meerdaal West",5b251e28-b2e0-4e1e-a07d-620f432dbe7b,2018_3_807,50.798524,4.705231,WGS84
f7991db5-01a3-4708-af89-4a5ff5c6a3f6,Event,"camera trap",2018-06-05T22:00:00Z/2018-07-04T10:09:34Z,"tags: Heverleebos",208b7d32-78e4-4491-9153-d1dcbb230d9a,2018_3_1665,50.841511,4.695375,WGS84
f9a655f1-d402-4bf4-a180-d38877f7e238,Event,"camera trap",2018-06-02T12:15:28Z/2018-07-06T16:30:19Z,"tags: Meerdaal West",552b4792-3547-42ca-85d6-4fa5f0092fa8,2018_3_998,50.807672,4.691192,WGS84
