id,occurrenceID,samplingProtocol,organismName,basisOfRecord,decimalLatitude,decimalLongitude,eventDate,geodeticDatum,lifeStage,occurrenceRemarks,reproductiveCondition,sex,scientificName,scientificNameID,taxonRank,datasetID,license
F53:capture1,F53:capture1,capture,F53,HumanObservation,38.2853475,-112.0255436,2014-02-11T00:00:00.000+00:00,WGS84,adult,,reproductive w/1+ dependent cub,f,Puma concolor,TSN 552479 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
F53:recovery1,F53:recovery1,bio-logging sensor recovery,F53,HumanObservation,38.4398889,-111.9790506,2014-11-05T00:00:00.000+00:00T,WGS84,adult,Collar removed. Alive at the time of collar recovery.,,f,Puma concolor,TSN 552479 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
IdCoy_P3_1:capture1,IdCoy_P3_1:capture1,capture,IdCoy_P3_1,HumanObservation,43.805269310754184,-112.7119061888433,2004-12-27T00:00:00.000+00:00,WGS84,,,,,Canis latrans,TSN 180599 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
IdCoy_P3_1:recovery1,IdCoy_P3_1:recovery1,bio-logging sensor recovery,IdCoy_P3_1,HumanObservation,43.81886351026955,-112.70294808352044,2005-02-04T23:59:00.000+00:00,WGS84,,Collar removed.,,,Canis latrans,TSN 180599 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
IdCoy_P3_1:capture2,IdCoy_P3_1:capture2,capture,IdCoy_P3_1,HumanObservation,43.802316306974156,-112.68706977879135,2005-05-06T00:00:00.000+00:00,WGS84,,,,,Canis latrans,TSN 180599 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
IdCoy_P3_1:recovery2,IdCoy_P3_1:recovery2,bio-logging sensor recovery,IdCoy_P3_1,HumanObservation,43.79943410541192,-112.72638509515035,2005-06-29T23:59:00.000+00:00,WGS84,,Collar removed.,,,Canis latrans,TSN 180599 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
F53:deployment1,F53:deployment1:1902295519,GPS fix,F53,MachineObservation,38.2853475,-112.0255436,2014-02-11T21:35:42.000+00:00,WGS84,adult,,,f,Puma concolor,TSN 552479 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
F53:deployment1,F53:deployment1:1902295520,GPS fix,F53,MachineObservation,38.2852533,-112.0256839,2014-02-11T23:01:01.000+00:00,WGS84,adult,,,f,Puma concolor,TSN 552479 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
F53:deployment1,F53:deployment1:1902295521,GPS fix,F53,MachineObservation,38.2855722,-112.0256444,2014-02-12T03:01:18.000+00:00,WGS84,adult,,,f,Puma concolor,TSN 552479 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
F53:deployment1,F53:deployment1:1902295522,GPS fix,F53,MachineObservation,38.2854494,-112.0256564,2014-02-12T07:00:59.000+00:00,WGS84,adult,,,f,Puma concolor,TSN 552479 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
F53:deployment1,F53:deployment1:1902295523,GPS fix,F53,MachineObservation,38.2856031,-112.0256297,2014-02-12T11:01:08.000+00:00,WGS84,adult,,,f,Puma concolor,TSN 552479 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
F53:deployment1,F53:deployment1:1902295524,GPS fix,F53,MachineObservation,38.2866822,-112.0258236,2014-02-12T15:01:12.000+00:00,WGS84,adult,,,f,Puma concolor,TSN 552479 (itis.gov),species,https://doi.org/10.5441/001/1.7d8301h2,https://creativecommons.org/publicdomain/zero/1.0/
