id,measurementID,occurrenceID,measurementDeterminedDate,measurementType,measurementTypeID,measurementValue,measurementUnit,measurementUnitID
F53:deployment1,F53:deployment1:fact1,,,attachment-type,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000052/,collar,,
F53:deployment1,F53:deployment1:fact2,,,deployment-end-type,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000084/,removal,,
F53:deployment1,F53:deployment1:fact3,,,deployment-id,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000085/,F53,,
F53:deployment1,F53:deployment1:fact4,,,duty-cycle,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000086/,GPS: 4-h fixes; activity: 5-min averages,,
F53:deployment1,F53:deployment1:fact5,,,manipulation-type,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000155/,none,,
F53:deployment1,F53:deployment1:fact6,,,study-site,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000175/,"Monroe Mountain, Fishlake National Forest",,
F53:deployment1,F53:deployment1:fact7,,,tag-manufacturer-name,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000183/,Lotek,,
F53:deployment1,F53:deployment1:fact8,,,tag-model,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000185/,GPS3300S,,
F53:deployment1,F53:deployment1:fact9,,,tag-readout-method,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000188/,tag-retrieval,,
IDCoy_P3_1:deployment1,IDCoy_P3_1:deployment1:fact1,,,attachment-type,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000052/,collar,,
IDCoy_P3_1:deployment1,IDCoy_P3_1:deployment1:fact2,,,deployment-end-type,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000084/,removal,,
IDCoy_P3_1:deployment1,IDCoy_P3_1:deployment1:fact3,,,deployment-id,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000085/,166760_Winter,,
IDCoy_P3_1:deployment1,IDCoy_P3_1:deployment1:fact4,,,duty-cycle,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000086/,5-min fixes,,
IDCoy_P3_1:deployment1,IDCoy_P3_1:deployment1:fact5,,,manipulation-type,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000155/,none,,
IDCoy_P3_1:deployment1,IDCoy_P3_1:deployment1:fact6,,,study-site,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000175/,Idaho National Engineering Laboratory,,
IDCoy_P3_1:deployment1,IDCoy_P3_1:deployment1:fact7,,,tag-manufacturer-name,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000183/,Lotek,,
IDCoy_P3_1:deployment1,IDCoy_P3_1:deployment1:fact8,,,tag-readout-method,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000188/,tag-retrieval,,
IDCoy_P3_1:deployment2,IDCoy_P3_1:deployment2:fact1,,,attachment-type,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000052/,collar,,
IDCoy_P3_1:deployment2,IDCoy_P3_1:deployment2:fact2,,,deployment-end-type,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000084/,removal,,
IDCoy_P3_1:deployment2,IDCoy_P3_1:deployment2:fact3,,,deployment-id,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000085/,166560_Summer,,
IDCoy_P3_1:deployment2,IDCoy_P3_1:deployment2:fact4,,,duty-cycle,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000086/,5-min fixes,,
IDCoy_P3_1:deployment2,IDCoy_P3_1:deployment2:fact5,,,manipulation-type,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000155/,none,,
IDCoy_P3_1:deployment2,IDCoy_P3_1:deployment2:fact6,,,study-site,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000175/,Idaho National Engineering Laboratory,,
IDCoy_P3_1:deployment2,IDCoy_P3_1:deployment2:fact7,,,tag-manufacturer-name,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000183/,Lotek,,
IDCoy_P3_1:deployment2,IDCoy_P3_1:deployment2:fact8,,,tag-readout-method,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000188/,tag-retrieval,,
F53:deployment1,F53:deployment1:measurement1,F53:deployment1:1902295519,,temperature-external,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000104/,9.0,degrees Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
F53:deployment1,F53:deployment1:measurement2,F53:deployment1:1902295520,,temperature-external,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000104/,10.0,degrees Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
F53:deployment1,F53:deployment1:measurement3,F53:deployment1:1902295521,,temperature-external,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000104/,17.0,degrees Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
F53:deployment1,F53:deployment1:measurement4,F53:deployment1:1902295522,,temperature-external,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000104/,17.0,degrees Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
F53:deployment1,F53:deployment1:measurement5,F53:deployment1:1902295523,,temperature-external,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000104/,19.0,degrees Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
F53:deployment1,F53:deployment1:measurement6,F53:deployment1:1902295524,,temperature-external,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000104/,7.5,degrees Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
F53:deployment1,F53:deployment1:measurement7,F53:deployment1:1902295525,,temperature-external,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000104/,16.5,degrees Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
F53:deployment1,F53:deployment1:measurement8,F53:deployment1:1902295526,,temperature-external,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000104/,12.0,degrees Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
F53:deployment1,F53:deployment1:measurement9,F53:deployment1:1902295527,,temperature-external,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000104/,19.0,degrees Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
