"occurrenceID","datasetID","type","modified","basisOfRecord","eventID","year","month","day","eventTime","eventDate","decimalLatitude","decimalLongitude","fieldNotes","scientificName","scientificNameID","vernacularName","lifeStage","sex"
"DDU2005_emp_a_f_02:deployment:00014","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,10,31,"8:23:05","2005-10-31T8:23:05",-66.667,140.024,"location_quality= A","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00015","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,10,31,"8:56:27","2005-10-31T8:56:27",-66.664,140.023,"location_quality= Z","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00016","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,1,"3:09:19","2005-11-01T3:09:19",-66.608,140.152,"location_quality= Z","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00017","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,1,"3:39:43","2005-11-01T3:39:43",-66.588,140.237,"location_quality= 2","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00018","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,1,"6:32:02","2005-11-01T6:32:02",-66.553,140.194,"location_quality= 2","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00019","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,1,"7:42:22","2005-11-01T7:42:22",-66.524,140.264,"location_quality= 1","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00020","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,1,"8:14:10","2005-11-01T8:14:10",-66.524,140.317,"location_quality= A","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00021","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,1,"8:57:43","2005-11-01T8:57:43",-66.523,140.328,"location_quality= Z","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00022","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,1,"9:54:00","2005-11-01T9:54:00",-66.525,140.412,"location_quality= 1","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
"DDU2005_emp_a_f_02:deployment:00023","10.1594/PANGAEA.633712","deployment",2020-01-16,"MachineObservation","capture:DDU2005_emp_a_f_02",2005,11,1,"10:36:05","2005-11-01T10:36:05",-66.516,140.389,"location_quality= Z","Aptenodytes forsteri","urn:lsid:marinespecies.org:taxname:225773","Emperor penguin","Adult","F"
